label,text
Pneumonia,"I have a feverish feeling and a chesty cough bringing up rusty phlegm. I feel short of breath just sitting here. The pain in my chest is sharp, and I also have a headache."
Diarrhea,Started last night with a slight headache. I have watery stools and my stomach is cramping. I feel weak.
Dengue,"I woke up feeling completely awful and sick since yesterday. I have an extremely high fever, and I am literally burning up all day and night. Along with the severe temperature, my body is aching all over, characterized by severe generalized muscle pain that makes moving difficult. I noticed that my gums are bleeding when I brush my teeth. My eyes hurt when I move them, with a deep pain situated behind my eyes. I feel extremely fatigued and have zero energy left. The nausea is quite bad, making me feel sick. It has been quite bad for a while now, leaving me entirely bedridden."
Measles,"It started with me burning up with a fever for days, alongside a really bad cough and a constantly runny nose. I was looking in the mirror because my mouth felt strange, and I spotted these tiny white spots on my inner cheeks. They looked exactly like grains of sand or salt. After dealing with the fever and the respiratory symptoms for a while, a blotchy rash appeared. It began as red spots on my face and behind my ears. Over the next day, the rash continuously spread downward, completely enveloping my neck, torso, and back."
Dengue,"This started 3 days ago with a sudden onset. I am battling an incredibly high fever and feel extremely febrile. There is an intense ache in my back and severe muscle pain radiating through my arms and legs. My headache is severe, feeling like a heavy weight pressing down on my skull. I also discovered that my gums are bleeding slightly whenever I eat solid food. I am very worried about these symptoms, especially the bleeding, and I am just waiting to see my doctor as soon as they can fit me in."
Dengue,"Since yesterday, my health took a turn with a persistent high fever. I feel febrile and am burning up relentlessly. I have an intense ache in my back and severe muscle pain; my body is aching all over. My gums are bleeding slightly when I brush. I have aching joints, and my joints are stiff. I feel incredibly nauseous and sick to my stomach. This severe sickness came on sudden, and I am struggling to find any relief from the intense pain and high temperature."
Pneumonia,"Started 3 days ago, I've had shivering, no energy, and a high fever. My wet cough brings up rusty colored spit. I can't catch my breath and have a sharp pain in my chest."
Influenza,"Started 2 days ago with chills and feeling hot and cold. I am exhausted and tired all the time. Everything hurts so badly, plus I have a dry cough and keep vomiting. This moderate bout is very persistent and uncomfortable."
Influenza,"For a few days I've had a temperature. I have a dry cough and everything hurts. I have nausea that comes and goes, and vomiting after I try to eat."
Typhoid,"Over the past 11 days, my fever keeps getting higher. I have stomach cramps, my head is throbbing with pain, and rose-colored spots are visible on my belly."
Diarrhea,I've had a sudden urge to go to the bathroom every hour since this morning. It's just watery liquid. My stomach cramps are coming in waves and I'm very thirsty.
Diarrhea,"Since yesterday, I have had uncontrollable watery diarrhea. My stomach cramps are intense, and I feel weak and extremely thirsty."
Dengue,"A sudden wave of illness hit me lasting a week now. I have a severe temperature, and my forehead is practically burning up. There is an intense ache in my back and severe muscle pain going down my legs and arms. This morning, I had a nosebleed out of nowhere, which is highly unusual for me. On top of that, I feel nauseous all the time and have no appetite whatsoever. I am drinking small sips of water to keep hydrated, but the constant feeling of sickness is really wearing me down."
Pneumonia,Chills and a high fever have kept me in bed. I'm coughing up rusty-colored sputum and gasping for air whenever I try to speak. My whole body aches with severe muscle pain that makes it hard to move.
Pneumonia,I have a fever and extreme fatigue. I'm coughing up yellow stuff constantly. It feels like knives in my chest every time I try to breathe.
Dengue,"I woke up on Tuesday feeling perfectly fine, but since yesterday everything changed rapidly. I suddenly developed an extremely high fever and I have been burning up ever since. Along with the severe temperature, I am suffering from severe generalized muscle pain, and my body is aching all over uncontrollably. I noticed that my gums are bleeding slightly without any provocation. Additionally, my eyes hurt when I move them because of a deep pain situated behind my eyes. It is quite bad and I really need some relief soon."
Dengue,"Lasting a week now, I have been fighting off this extremely high fever that leaves me burning up day and night. The severe generalized muscle pain is quite bad, making my body ache all over without any relief. I have also developed a maculopapular rash across my chest and back. Whenever I blow my nose, I realize I had a nosebleed, which is really scary. To make things worse, a splitting headache has been throbbing in my head. I have been resting, but the severe symptoms are just not improving at all."
Typhoid,"My main complaint is a fever that hasn't gone away for a week. I'm having loose stools, my muscles ache terribly, and I have a dull headache."
Measles,"Started earlier this week with a very high temperature, a bad cough, constant sniffles, and red eyes. Now there is a red rash starting on my face and spreading down my chest."
Dengue,"This started 3 days ago and has completely drained me. I have an extremely high temperature that leaves me sweating and burning up. The intense ache in my back and severe muscle pain are overwhelming. Yesterday evening, I unexpectedly had a nosebleed that took several minutes to stop. Additionally, I am feeling extremely nauseous and sick to my stomach, making it hard to even think about food. My spouse has been trying to bring me soup, but the mere smell of it makes my stomach turn upside down."
Measles,"I have a high fever, a bad cough, and my eyes are watering non-stop. A red rash began at my hairline and is descending rapidly. I am feeling extremely fatigued and struggling with painful muscle aches all over."
Diarrhea,"It began suddenly today. I had 7 watery stools, intense gut cramps, and a parched mouth. I don't have a prolonged fever, and I am not experiencing any respiratory issues."
Typhoid,"Over the past 5 days, my persistent fever hasn't gone away. I haven't gone to the bathroom in days, I don't want to eat, and I have a dull headache."
Diarrhea,Happened suddenly. I have severe cramping and watery diarrhea. I've gone 7 times in the last 12 hours.
Typhoid,"My fever has been building for a full week now. My stomach hurts terribly when I touch it, and I haven't been able to poop at all for the last four days."
Dengue,"This issue has been lasting a week, and I am feeling totally defeated. I have a persistent high temperature and I am burning up all day. My body is aching all over, and the severe generalized muscle pain is a constant struggle. I have a splitting headache that radiates across my skull. I noticed a faint red rash developing under my arms. My fatigue is overwhelming, leaving me with zero energy for my children. I have never experienced a sickness that completely wiped me out for this long before."
Dengue,"For the past 4 days, I've had a fever of 103.3°F. My tummy hurts a bit, and I have a petechial rash on my legs. The severe generalized muscle pain is unbearable, like my bones are breaking."
Pneumonia,"I feel sick to my stomach and have a burning fever. My chesty cough is wet with thick green mucus. Over the last few days, my ribs hurt to breathe because of the pain."
Diarrhea,I am very dry and dizzy. The watery stools started suddenly an hour ago and the cramps are bad.
Dengue,"The symptoms were sudden and immediately knocked me off my feet. I developed an intense high fever and feel like I am burning up in a furnace. My body is aching all over, and the severe generalized muscle pain is absolutely crippling. My eyes hurt when I move them, and there is deep pain situated behind my eyes. I feel very sick to my stomach and quite nauseous all afternoon. I had to cancel my family gathering because I am in no shape to be around anyone right now."
Dengue,"I woke up feeling awful since yesterday morning. I have a severe temperature and feel like I am burning up from the inside out. The intense ache in my back and severe muscle pain are truly unbearable. I am dealing with a pounding head that makes me highly sensitive to loud noises. Additionally, my gums are bleeding noticeably when I do my morning dental routine. I am feeling incredibly anxious about my condition and have been spending all my time lying down trying to get some relief from this constant agony."
Dengue,"For two days now, I have been dealing with a severe illness. I am running an extremely high fever, constantly burning up. Additionally, there is an intense ache in my back, and my body is aching all over with severe generalized muscle pain. My eyes hurt when I move them, with a deep pain situated behind my eyes. I am suffering from a persistent headache and a pounding head. The symptoms are moderate but I just want this to stop. I am trying to rest, but it is very difficult to get any sleep with all these uncomfortable issues affecting my body."
Influenza,"I have been dealing with this since last night and it is quite bad. It started with feeling hot and cold, and now my temperature is definitely up. I have a persistent cough that gets worse at night. My body aches are moderate but definitely noticeable, as everything hurts when I try to move. I also have a pounding headache and a really stuffy nose; I am so congested I can't breathe through my nose at all. I am just resting and taking it easy."
Measles,"I woke up with a high temperature, coughing badly. Now there's a red rash that started on my forehead and is traveling down my torso. My muscles ache terribly and I'm exhausted, but I definitely do not have any bone pain."
Measles,"My throat is raw from coughing, accompanied by a high fever. This weird rash started right behind my ears and went down my back. I feel totally exhausted with muscle aches. At least there's no severe joint or bone pain."
Influenza,"I've got a high fever, severe body aches, and a dry hacking cough. I threw up once last night and woke up with a pounding headache. I'm exhausted but drinking plenty of fluids."
Dengue,"Since yesterday evening, I have been dealing with an intense, extremely high temperature that makes me feel like I am burning up from the inside out. Along with the severe fever, my body is aching all over with a severe generalized muscle pain that makes it very hard to get out of bed. I also started noticing that my gums are bleeding slightly whenever I brush my teeth. On top of everything else, I have this pounding headache that just will not go away no matter how much I try to rest."
Pneumonia,"My teeth are chattering I'm so cold, but I have a fever. I'm coughing up rusty mucus and my chest feels heavy and painful, especially on the right side."
Dengue,"For 2 days, I have been in absolute agony. I have a severe temperature and my body is burning up like a furnace. My body is aching all over with severe generalized muscle pain. I have a splitting headache that makes me want to cry. Furthermore, my eyes hurt when I move them, feeling like there is immense pressure. I have also been vomiting repeatedly after trying to drink water. I am so weak from throwing up that I cannot even stand up to walk to the bathroom by myself anymore."
Measles,"I have been fighting this awful illness for about five days now. It kicked off with a really high temperature and a persistent dry, hacking cough that kept me awake. I also had a very runny nose, with constant sniffles that I assumed was just a typical winter virus. Then, earlier today, I was washing my face and noticed a bright red blotchy rash starting right on my cheeks and behind my ears. Now, just a few hours later, I can actually see those spots spreading downward onto my neck and upper chest. I am feeling so incredibly uncomfortable right now and plan to call my doctor."
Diarrhea,"Since this morning, I have had twisting pain in my gut and loose stools. I haven't peed much and feel very thirsty."
Diarrhea,Started abruptly with nausea and stomach cramps. I have visited the bathroom 4 times in the last 6 hours with watery stools.
Influenza,"This started 2 days ago when I returned from the gym. I got a sudden high fever and a high temperature. I have a persistent dry cough that is racking my lungs. My body aches are quite bad; my muscles are sore and everything hurts. I am totally wiped out, feeling weak and exhausted with absolutely no energy. I also have a scratchy throat, and my throat hurts, making it painful to swallow. I am resting for a few days."
Measles,"My illness started slowly over the weekend with a high fever and a persistent cough that left my chest aching. I also had a very runny nose and felt extreme fatigue, sleeping for almost fifteen hours straight. When I looked in the mirror, I saw small white spots in my mouth that looked like salt grains. The symptoms escalated yesterday when a distinct red rash showed up. It began entirely on my forehead and face, and by this afternoon, it had spread downward to envelop my entire torso and back."
Diarrhea,"Since yesterday, I've had a mild headache and stomach cramps. I've gone to the bathroom with loose stools 4 times. It comes in waves."
Typhoid,"My fever has been climbing for over a week now. I haven't gone in days, I feel a dull headache, and there are small pink to red spots on my stomach."
Dengue,"This started 3 days ago and has not let up. I have a severe temperature and am constantly burning up. My body is aching all over with severe generalized muscle pain. My eyes hurt when I move them, creating a sharp ache in my eye sockets. I am also dealing with terrible joint pain, and my aching joints crack and throb when I try to stretch. I have had to cancel all my appointments because I simply do not have the physical capability to leave my house in this dreadful condition."
Measles,"I have been down for the count since last Friday. It started with a high fever and a terrible, persistent cough. My eyes were incredibly red and watery, making me look like I had been crying all day. I also noticed these weird small white spots in my mouth, right on the inside of my cheeks. I thought it was a bizarre cold. Then, yesterday morning, a distinct red rash erupted on my face. By this evening, the blotchy spots had relentlessly spread downward, covering my neck and my entire chest area."
Pneumonia,"I am shivering, my muscles are sore, and I feel feverish. I've had a stabbing chest pain for a week, accompanied by a wet cough that brings up rusty colored stuff."
Dengue,"This illness has been persistent for 2 days now and it is making me absolutely miserable. Out of nowhere, I was hit with an extremely high fever and I have been burning up severely. Over-the-counter medicine has not brought my severe temperature down at all. Furthermore, my body is aching all over with severe generalized muscle pain that makes every movement hurt. On top of that, there is a deep pain situated behind my eyes, and I just noticed a faint red rash starting to spread across my chest and stomach area this afternoon."
Typhoid,"This fever won't break and it's been over a week now. I can't pass stool at all, my stomach cramps are uncomfortable, and I have absolutely no energy left to do anything."
Influenza,"This hit me suddenly yesterday. I started burning up with a temperature. Since last night, I have had a hacking cough that is constant. My muscles are sore and my body aches terribly. Strangely, I also have some nausea and feel slightly sick to my stomach, though I haven't thrown up. It is a moderate sickness, but I am resting and drinking herbal tea to soothe my stomach and throat. I am really hoping to feel better soon because being stuck in bed all day is incredibly frustrating."
Measles,"I started feeling horribly sick this past weekend. I developed a fever for days, a dry hacking cough, and my nose was dripping clear fluid continuously. While brushing my teeth, I noticed strange small white spots on my inner cheeks, looking exactly like grains of salt. I had no idea what was happening and decided to just rest and drink plenty of water. Then, the timeline became obvious: first I had the fever and cough, and subsequently, a blotchy red rash broke out on my forehead. Over the next day, the rash rapidly spread downward, deeply covering my neck, chest, and completely taking over my stomach."
Influenza,"I have been feeling off since last night and it is quite bad. I have a moderate temperature and feel hot and cold. My persistent cough is a bad cough that keeps me up. My body aches are definitely noticeable; my muscles are sore all over. I have a head pain that is constant. I feel quite exhausted and have no energy. I am taking over-the-counter meds and resting, hoping it goes away in a few days."
Measles,"My teenager came home sick on Monday. He had a very high temperature, a bad cough, and constant sniffles. I looked in his mouth when he complained of pain and saw small white spots on his inner cheeks like grains of salt. He felt awful. Then, yesterday morning, a distinct red rash started on his face and behind his ears. By dinner time, the rash had noticeably spread downward, moving past his collarbone to entirely cover his chest and the upper half of his back."
Dengue,"My illness started suddenly about three days ago, and I am feeling quite bad. I have an extremely high temperature that makes me feel like I am burning up all day. I am also experiencing severe generalized muscle pain, and my body is aching all over. My eyes hurt when I move them, with a deep pain situated behind my eyes. I have persistent aching joints making it hard to walk. I am so completely exhausted and drained that I cannot even get out of bed. The persistent nature of these symptoms is making this whole ordeal quite unbearable."
Dengue,"Lasting a week, this sickness has brought a sudden, severe temperature. I am burning up all day. I have severe generalized muscle pain, and my body is aching all over intensely. I also suffer from pain behind my eyes, which is quite bad. I have been vomiting and throwing up repeatedly. My joints are aching terribly. This is a severe condition, and the persistent fever and intense aches have completely drained my energy, leaving me trapped in bed and feeling worse each passing hour."
Dengue,"I am totally wiped out from a 103.5°F fever for three days. Tiny red speckles appeared today. My eyes hurt when looking around, and the severe generalized muscle pain is incredibly hard to endure."
Diarrhea,I have red streaks in my stool and my stomach is killing me. I feel nauseous. Started this morning.
Measles,"I am feeling incredibly weak and sick. About three days ago, I developed a very high temperature, a hacking cough, and very red, watery eyes. The exhaustion was so severe that I could not even stand up for long. I also noticed some unusual white spots on my inner cheeks. I thought it was a strange virus until this morning when a blotchy rash started forming. The red spots appeared first on my face and ears, and have now started to spread downward all over my neck and chest area."
Diarrhea,Feeling queasy and sick. I have loose stools about 5 times since this morning and a twisting pain in my gut.
Typhoid,"My fever hasn't gone away for a week and gets worse each day. My abdomen is tender, I have no energy, and I noticed flat red spots on my chest."
Dengue,"For the past two days, I have been dealing with a terrible illness that leaves me completely drained. I have a severe fever and am constantly burning up despite taking medication. The severe generalized muscle pain is awful; my body is aching all over to the point of tears. I feel sick all day, feeling nauseous and vomiting up even small sips of water. Furthermore, I had a sudden nosebleed this afternoon. The entire experience has been incredibly agonizing and I cannot handle it anymore."
Diarrhea,It started abruptly this morning. I have a twisting pain in my gut and I've had loose stools about 4 times today. I also feel a bit nauseous.
Influenza,"This hit me suddenly over the weekend. I felt hot and cold with a sudden high fever. I have a persistent cough that is racking. My muscles are sore, and the severe body aches are terrible. I have a pounding headache, feel completely exhausted, and my nose is running. I have been drinking plenty of fluids, getting as much sleep as possible, and hoping this severe sickness passes soon so I can get back to my normal daily routine without feeling this miserable."
Dengue,"My condition is persistent and very draining. I have an extremely high fever and I am completely burning up under my clothes. My body is aching all over with a severe generalized muscle pain that feels like torture. There is a deep pain situated behind my eyes that makes me want to keep my eyes closed all the time. I noticed a faint red rash on my chest as well. The fatigue is incredibly severe, sapping away all my motivation and physical strength to do anything at all."
Measles,"My six-year-old daughter became very ill starting last Monday. She developed a high fever and a persistent cough that sounded awful. Her eyes were red, watery, and so sore that she could not handle the lights being on in her room. I thought she had a bad flu and just tried to keep her comfortable. However, on Wednesday morning, a blotchy red rash appeared on her face and along her hairline. By Thursday, the rash had aggressively spread downward, covering her entire neck, her chest, and all the way down to her legs."
Influenza,"My head is killing me and I've been feeling hot and cold since last night. My muscles are sore, I have a persistent cough, and I feel wiped out. It's a moderate case that is worse at night."
Pneumonia,I have absolutely no energy. I'm feverish and sweating. I have a racking wet cough with green phlegm and I can't take a full breath without pain.
Dengue,"This sudden sickness has absolutely floored me. I am highly febrile with an extremely high temperature and I am burning up. My body is aching all over; the intense ache in my back and severe muscle pain are crippling. I have noticed a maculopapular rash spreading on my arms. I feel completely nauseous and have been vomiting repeatedly throughout the morning. The fatigue is just crushing me, leaving me without any energy to even hold up my phone to call my doctor for help."
Measles,"Everything kicked off last weekend when I suddenly got a really high fever and started suffering from a severe hacking cough that absolutely drains my energy. On top of that, I have had a constantly runny nose and a really upset stomach, leading to frequent bouts of diarrhea over the last few days. The respiratory symptoms and fever were bad enough, but then yesterday morning, a distinct red rash showed up on my face and near my hairline. Since then, the spots have rapidly spread downward, moving past my neck to completely cover my stomach and both of my arms."
Diarrhea,Mild headache and stomach cramps. I've had a sudden urge to use the bathroom with loose stools since lunch.
Measles,"I have a hacking cough, a spiking fever, and I feel totally wiped out. A rash appeared right behind my ears and is descending down my back. The muscle aches are making it impossible to get any rest."
Typhoid,"I've had a high fever for over a week that keeps climbing. I haven't gone to the bathroom in days, feel extremely weak, and oddly my pulse feels slow despite the heat."
Typhoid,"This high temperature for days is my worst symptom, as it keeps getting higher. I'm dealing with loose stools, extreme weakness, and a dull headache that won't go away."
Typhoid,"For over a week, my temperature has been climbing. I can't pass stool, I have extreme weakness, and a persistent dry cough is bothering my throat."
Influenza,"This started 2 days ago. I have a slight fever, feeling just a little warm. My dry cough is mild and comes and goes. My muscles are sore, mostly just slight body aches. Unfortunately, I also had some nausea and a brief episode of vomiting yesterday which was unpleasant. Thankfully, the stomach issues seem to be passing. I am just sipping clear fluids and resting, expecting to be fully recovered in a few days."
Influenza,"It started 2 days ago with a hacking cough and a sore throat. I am feeling hot and cold, and I am completely wiped out. My muscles are sore, and the body aches are moderate. I have no energy to leave my bed."
Dengue,"My illness has been lasting a week now, and it remains incredibly persistent despite my efforts to rest. I have an extremely high temperature and I am burning up severely. My body is aching all over, and the severe generalized muscle pain makes it difficult to find a comfortable position in bed. I have a splitting headache and I am totally tired out. My eyes hurt when I move them due to a deep pain situated behind my eyes. I am just lying in bed hoping these awful symptoms will eventually pass so I can get back to my normal life."
Typhoid,"Over the past 11 days, my fever keeps escalating. I haven't gone to the bathroom in days, my head constantly aches, and I have a dry cough that wears me out."
Pneumonia,"I've had a persistent fever and extreme weakness for a week. I feel sick to my stomach. My wet cough brings up thick yellow mucus, and there's a sharp pain in my chest."
Measles,"Late last week, I started feeling under the weather with a high fever and a really harsh, dry cough. Swallowing became quite painful because I developed a severe sore throat alongside the coughing fits. My eyes have been incredibly red and sore, looking almost like I have pink eye. Just when I thought the fever was breaking yesterday, a widespread red rash appeared first on my face. Over the last twenty-four hours, the spots have traveled downward, completely covering my neck, chest, and arms in a blanket of blotchy redness."
Pneumonia,"I woke up burning up with a fever and my body aches all over. I have a hacking cough that brings up dark yellow mucus, and it feels like someone is stabbing my chest when I inhale."
Pneumonia,My temperature is through the roof and I'm soaking in sweat. I have a productive cough with rusty spit. It feels like a heavy weight is on my chest making it hard to breathe.
Typhoid,"I've had a high temperature for days that escalates every afternoon. I have terrible diarrhea, generalized muscle pain, and I just feel completely run down."
Dengue,"For the past two days, I have been dealing with a terrible illness that leaves me completely drained. I have a severe fever and am constantly burning up despite taking medication. The severe generalized muscle pain is awful; my body is aching all over to the point of tears. I am experiencing a pounding head that pounds continuously. To make matters worse, there is a deep pain situated behind my eyes. The resulting fatigue has left me entirely exhausted and unable to even sit up straight."
Dengue,"This nightmare started 3 days ago. I am running a persistent high fever and feel absolutely febrile. My body is aching all over, and the severe generalized muscle pain is unbearable. I have a terrible headache that simply will not fade away. I also experience deep pain situated behind my eyes, especially when I shift my gaze. The worst part is the constant vomiting; I am throwing up multiple times a day. I have had to keep a bucket next to my bed because I am too weak to run to the restroom."
Influenza,"I have a pounding headache and a scratchy throat. It hit me suddenly with a sudden high fever and a persistent cough. My muscles are sore, and the body aches are moderate. It has been constant for 3 days and I need relief."
Typhoid,"My temperature has been high for 10 days and gets worse each day. I have severe diarrhea, a constant headache, and a persistent dry cough."
Measles,"I started feeling sick about five days ago. First, I had a high fever and a bad, persistent cough. My eyes became extremely red, watery, and so sensitive to light that I had to keep the curtains closed. I also noticed these weird small white spots on my inner cheeks that looked like little grains of salt, and I had a terrible headache. Yesterday, a red rash started right on my face and hairline. By this morning, the spots had spread downward, completely covering my neck, back, and stomach."
Dengue,"I woke up feeling completely awful yesterday. I have been burning up with an extremely high temperature that makes me sweat profusely. Alongside the fever, my body is aching all over, resulting in severe generalized muscle pain that makes even lying still uncomfortable. My aching joints are incredibly stiff, especially my knees and elbows. Just today, I noticed a faint red rash spreading across my chest. This illness has brought on severe fatigue, leaving me entirely stripped of my usual energy and completely bed-bound today."
Typhoid,"Over the last week, my fever keeps getting higher and making me miserable. My belly is tender, I feel too weak to get out of bed, and this headache is just constant."
Pneumonia,"I can't catch my breath, and my temperature is soaring. My stomach hurts so much I can't stand up straight. Add in a wet cough producing yellow mucus, and I am completely miserable and weak right now."
Typhoid,"For over 8 days, my high temperature has been steadily rising. I haven't had a bowel movement, I am not eating due to no appetite, and my muscles are really sore."
Influenza,"Since last night, my throat hurts and I have a hacking cough. I'm burning up with a fever, and everything hurts. The body aches are constant. I feel quite bad overall."
Dengue,"My fever hit 104.1°F this morning. I've noticed tiny red speckles all over my chest. I have mild abdominal pain, and severe generalized muscle pain that makes my entire body ache terribly."
Typhoid,"It started a week ago with a fever that hasn't gone away and gets hotter. I'm constipated, have no desire to eat, and suffer from aching muscles."
Diarrhea,I have a mild fever and feeling warm. The loose stools started 6 hours ago. My stomach cramps are really bad.
Dengue,"For 2 days now, my life has been on pause. Out of nowhere, I was hit with an extremely high fever and I have been burning up severely. The severe temperature is accompanied by severe generalized muscle pain, and my body is aching all over. I have terrible joint pain with aching joints all through my body. I noticed a faint red rash spreading on my stomach. Moreover, I cannot keep anything down, constantly throwing up and vomiting every time I try to drink a glass of water."
Diarrhea,I have a slight headache and my stomach is twisting in knots. The diarrhea started abruptly 4 hours ago. I feel a bit nauseous.
Typhoid,"I have a persistent fever that gets worse each day for over a week. I haven't gone in days, my mind is foggy, and I keep getting bad chills."
Measles,"My energy has been completely zapped, and the fatigue is just unbelievable. A few days back, my temperature shot up into a high fever, and I got this severe, hacking cough. My eyes have been intensely red and sensitive to light. I also saw little white spots inside my cheeks. The fever and cough definitely came first, and then yesterday, a blotchy red rash started showing up. I first saw it on my face and near my hairline. By this afternoon, the rash had rapidly spread downward, moving past my neck and completely covering my abdomen and back."
Dengue,"I have been quite sick since yesterday and cannot seem to shake it. I have a very high fever, and I am burning up while also shivering. My body is aching all over, and this severe generalized muscle pain is very difficult to tolerate. My aching joints are making things worse, with sharp pain in my knees and elbows. My eyes hurt when I move them, and there is this deep pain situated behind my eyes. I feel completely nauseous whenever I try to drink a glass of water."
Dengue,"Since yesterday, I have been miserable. The sudden high fever has me completely burning up. My body is aching all over, bringing severe generalized muscle pain that is practically disabling. I found that my gums are bleeding slightly this morning. I also have deep pain situated behind my eyes which throbs when I look side to side. Additionally, my joints are stiff, and the terrible joint pain makes it very difficult to get up and walk around my own bedroom."
Influenza,"This started 2 days ago with severe symptoms. I have an extreme high fever and feel like I am burning up. My hacking cough is intense and constant. Everything hurts; my body aches are severe, and my muscles are sore deep down. I have a stuffy nose and am completely congested. My throat hurts so much, it's very painful to swallow. I am stuck in bed and praying this heavy viral load clears in a few days."
Diarrhea,My stomach is killing me. I've had red streaks in my poop and I've been going every 2 hours since last night. I feel very warm.
Influenza,"I am burning up. I have a persistent cough that's much worse at night. My muscles are sore, my head is killing me, and I have a scratchy throat that won't go away."
Pneumonia,My temperature is very high and I have the chills. Taking a deep breath causes a stabbing ache in my chest. I am also dealing with a wet chesty cough that brings up thick yellow phlegm.
Pneumonia,I feel extremely weak and tired. My chest feels heavy and I can't catch my breath. I've been feverish and coughing up rusty colored stuff since yesterday.
Dengue,"My horrible symptoms started 3 days ago, and I have barely left my room since then. I am dealing with an extremely high fever, and I just keep burning up uncontrollably. I have severe generalized muscle pain, and an intense ache in my back makes it hard to lie down comfortably. I have a splitting headache that is driving me crazy. I have tiny red speckles covering my arms, and I had a minor nosebleed this morning. I am just lying in bed hoping these awful symptoms will eventually pass because I am so tired."
Pneumonia,"I am very weak and tired. I have a fever and a chesty cough with yellow phlegm. My breathing is fast and shallow, and I feel like I can't get enough air."
Typhoid,"My fever gets higher every day and it's been over a week. I have diarrhea, a dull headache, and I keep seeing small pink to red spots on my stomach."
Pneumonia,"I feel so weak, cold, and feverish all the time lately. I have a wet cough that keeps pulling up yellow mucus, and I have serious difficulty breathing whenever I try to move around."
Measles,"I am feeling completely wiped out. This whole ordeal started about five days ago with a fever for days that just refused to go away, coupled with a hacking cough that was keeping the whole house awake. My eyes got really red and watery, looking almost exactly like pink eye, and I had to close the blinds due to the light sensitivity. I also had constant sniffles. Then, after suffering with the respiratory issues, a red rash erupted behind my ears. Over the following day, I watched in horror as it spread downward across my neck, torso, and eventually all the way to my legs."
Typhoid,"My fever won't break and started a week ago, getting higher every night. My belly hurts uncomfortably, I have a dry cough, and I'm not hungry at all."
Pneumonia,"I have a pounding head and I'm feverish and sweating. Coughing thick green mucus is a persistent issue, and my ribs hurt to breathe heavily."
Influenza,"Since last night I have been feeling hot and cold. I have a bad cough and my muscles are sore. I have a runny nose that comes and goes, which is really frustrating."
Dengue,Exhaustion has set in with a 103.1°F fever. I have mild abdominal pain and noticed bleeding gums this morning. The severe generalized muscle pain is so intense I can hardly get out of bed.
Diarrhea,Happened suddenly yesterday. I have bloody stools and severe abdominal cramping. I also feel hot and feverish.
Diarrhea,My stomach hurts and I feel queasy. I've had loose stools 4 times since waking up this morning.
Typhoid,"This fever keeps climbing and hasn't gone away for 11 days. I have constant diarrhea, my mind is completely foggy, and my pulse feels oddly slow for how hot I am."
Dengue,"I have been feeling absolutely terrible since yesterday morning when this all began. It started with an extremely high fever, and I am just burning up continuously. Along with the severe temperature, my body is aching all over with this intense ache in my back and severe generalized muscle pain. I noticed these tiny red speckles spreading across my chest. I had a nosebleed this morning, which really scared me. Every single one of my joints is stiff, and I have terrible aching joints. It is severe and I am struggling to cope with it. I have never felt this sick before, and I just want to recover."
Pneumonia,"I'm extremely weak and burning up with a fever. For a week, I've been feeling breathless, and my cough is very productive, hacking up huge globs of green mucus."
Typhoid,"My fever has been escalating for a week, peaking higher each evening. I have a persistent dull headache. My stomach is cramping and there are faint pink dots scattered across my chest."
Measles,"It all started about five days ago when I came down with a very high temperature that left me shivering, alongside a terrible, dry hacking cough that simply would not go away. I also had a constant runny nose, with clear fluid dripping endlessly, and my eyes became incredibly red, watery, and so sensitive to the light that I had to close the curtains. Roughly three days after the fever and coughing began, I woke up to find a blotchy red rash starting right at my hairline and behind my ears. Over the next twenty-four hours, I watched as those spots spread downward, completely covering my neck, chest, and stomach."
Diarrhea,"My symptoms hit abruptly this morning. I have passed bloody stool 3 times, my stomach is churning painfully, and I am so thirsty. I noticed a slightly elevated temperature and feel profoundly fatigued."
Measles,"I came down with a high temperature and a dry, persistent cough last Thursday. I also had a very sore throat and incredibly red, watery eyes that hurt whenever I looked out the window. Yesterday morning, a flat red rash broke out on my face and directly behind my ears. By last night, the rash was spreading downward, completely taking over my chest and my back. I look absolutely miserable in the mirror and my whole body feels incredibly weak. I am extremely anxious about my current condition and these bizarre spreading symptoms."
Diarrhea,"Since yesterday, my mouth has been dry and I'm thirsty. I have loose stools and twisting pain in my gut."
Influenza,"It hit me suddenly while doing the dishes. I got a sudden high fever and was feeling hot and cold. I have a bad cough that comes and goes. My muscles are sore due to the body aches, and everything hurts. I am exhausted, tired all the time, and feeling weak with no energy. I also have a stuffy nose; I am congested and I can't breathe through my nose. The symptoms are worse at night. I will rest for 3 days."
Pneumonia,"I threw up twice this morning and my fever is very high. I am coughing up thick yellow mucus non-stop, and I can't catch my breath at all, even when I am resting."
Diarrhea,"I've been running to the bathroom with watery stools since last night. My stomach cramps are really twisting my gut, and I feel extremely thirsty no matter how much I drink."
Pneumonia,"I've been feverish and sweating for a week, feeling wiped out. My chesty cough is quite bad, bringing up green phlegm, and it really hurts my ribs to breathe."
Pneumonia,I've got a persistent fever and my teeth are chattering from the cold. I am coughing up dark yellow phlegm non-stop. I get winded easily and it hurts my ribs to breathe deep over the last few days.
Diarrhea,"Since yesterday, I feel totally drained. The diarrhea is bloody and the cramping is very uncomfortable."
